nation,year,month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,pop_density,gdp_last_year,max_tem,min_tem,elevat,precip,wind,humi,solar,high_t,Bulgaria,Croatia,France,Germany,Greece,Hungary,Ireland,Italy,Netherlands,Portugal,Romania,Slovakia,Slovenia,Spain
Greece,1985,8,5.0,1985,8.0,5.0,20.0,,,,,77.0698215671063,145.212324832108,29.610338709677418,20.13028225806452,364.5,0.043766741612903226,3.8786285552364017,0.5517893146169528,27.46737087844355,25,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Greece,1987,7,20.0,1987,7.0,31.0,1000.0,,,,,77.5841349883631,149.627081061957,30.51141935483871,20.66639112903226,364.5,0.3846391601225806,3.2254669796011175,0.5527422785569781,28.61278145782258,21,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Greece,1988,7,3.0,1988,7.0,3.0,56.0,,,,,77.8664313421257,146.247209666684,31.85073387096774,21.913245967741933,364.5,0.033266304290322575,3.359426481710082,0.5297697270766865,28.868244571814518,30,False,False,False,False,True,False,False,False,False,False,False,False,False,False
France,1990,7,24.0,1990,7.0,24.0,5.0,,,,,106.004940043757,1613.90152261543,28.89993866424353,13.073482962289868,328.2535211267606,0.882255653134757,3.221192331654231,0.5229218359374198,25.356184765916403,19,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Spain,1995,7,25.0,1995,7.0,25.0,30.0,70.0,,,70.0,79.5371816434406,773.23035677481,30.681170609318997,15.130504659498209,666.0888888888888,0.4415081572180645,2.9107766949530056,0.4761702875489239,26.71094101149677,22,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Italy,1998,7,4.0,1998,7.0,4.0,10.0,,,,,193.487960286967,1715.45948692871,30.178267839687194,13.729317693059627,510.27272727272725,1.6427928158498533,2.7393850851805053,0.5631357925570218,26.393048663683285,24,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Romania,1996,7,4.0,1996,7.0,4.0,16.0,200.0,,,200.0,98.5491634715929,103.67132209477299,28.004010405827263,12.429292403746098,323.5806451612903,0.5023604949452654,2.6046327277958237,0.4947454022650083,24.730698049248698,16,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Romania,1998,8,3.0,1998,8.0,3.0,20.0,,,,,98.0327714621717,102.498957462192,29.73807075962539,13.006010405827263,323.5806451612903,0.6682790072865764,2.3882503616275352,0.45959961764382046,23.299010117157128,22,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bulgaria,2000,6,,2000,7.0,,7.0,,,,,73.8513242339329,29.0682056954845,29.134759420289857,11.934723188405798,287.0,0.7084216639617391,2.8045193744151646,0.4353549989241968,27.723116431643476,17,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Greece,2000,7,,2000,7.0,,27.0,176.0,,,176.0,83.83093871218,193.851986394534,31.226157258064514,20.40810483870968,364.5,0.0688895267516129,3.514660409953217,0.5051765771626875,29.926471453475806,24,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Croatia,2000,6,,2000,6.0,,40.0,200.0,,,200.0,79.9166905136643,38.524755150020106,28.150316666666665,12.832858333333332,260.6666666666667,0.9457828148599999,2.7756495814036404,0.5138526615198075,27.6710132063,17,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Romania,2000,7,,2000,7.0,,6.0,100.0,,,100.0,97.701323407775,100.040183664426,29.782143600416234,13.64237669094693,323.5806451612903,1.1932154704133195,3.194073596670835,0.43131078246961596,24.679470983544224,17,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Belgium,2003,8,1.0,2003,8.0,15.0,1175.0,,,,,342.672820343461,376.043542626992,27.137664516129032,12.414296774193549,249.6,2.043777906209032,2.5618481166837883,0.6135622115676165,20.063435265290323,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Germany,2003,8,,2003,8.0,,9355.0,,,,,236.616427281328,2877.45096148429,27.848104975396392,13.677539639147076,209.91525423728814,0.7467711131219245,2.8191439905968796,0.5560401103744967,19.466169458703117,15,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Spain,2003,8,1.0,2003,8.0,11.0,15090.0,,,,,84.5088139260031,1036.86975313711,32.16027168458781,17.076567025089606,666.0888888888888,0.3895569314787097,2.6939077093521235,0.46108203876676834,22.954247964941935,26,False,False,False,False,False,False,False,False,False,False,False,False,False,True
France,2003,8,1.0,2003,8.0,20.0,19490.0,,,,,113.635188832326,2110.7960585184,32.981726942298955,16.4726855974557,328.2535211267606,0.9817900418028169,2.503491973355541,0.49075740877689655,22.080008687062243,28,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Croatia,2003,7,,2003,7.0,,788.0,,,,,76.8958437567007,43.2807362271184,30.622244623655913,15.604567204301077,260.6666666666667,0.5000722461483871,2.8065640635669324,0.49618780795450695,25.151252925774195,26,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Italy,2003,7,16.0,2003,8.0,15.0,20089.0,,,,,193.810329435476,1882.84470680609,31.06192961876833,14.705317693059628,510.27272727272725,1.6221471477747802,2.585598313036707,0.5482933319115553,25.420379597894428,27,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Ireland,2003,7,,2003,7.0,,301.0,,,,,58.0130788213093,178.642424207669,17.040870967741938,12.187543010752687,183.08333333333334,4.211981940967742,4.140460612696534,0.8820638443307186,12.90767586164516,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Spain,2004,7,26.0,2004,7.0,30.0,26.0,,,,,85.9848050803317,1067.78854886016,29.8717146953405,14.278212903225805,666.0888888888888,0.35221287378580646,2.8671009759004464,0.49897465554337195,27.477680879096773,25,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Slovenia,2003,7,,2003,8.0,,289.0,,,,,99.0929990069513,34.5092260366508,27.282935483870965,11.630153225806453,809.75,2.6297278042645162,2.149106519639868,0.6395414804531089,21.80060026287097,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Netherlands,2003,7,31.0,2003,8.0,13.0,965.0,,,,,480.607286729858,660.722537625617,23.89093548387097,13.570825806451614,-995.8,2.0438169234503225,3.38119623796433,0.6993008371497493,18.535731353651613,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Portugal,2003,7,30.0,2003,8.0,15.0,2696.0,,,,,114.304054644809,198.677933649212,31.506806451612903,15.243612903225808,100.66666666666667,0.04185401218064516,3.711179459008616,0.5386448920167302,28.22652977496774,25,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Romania,2004,7,1.0,2004,7.0,,27.0,,,,,93.2684695652174,116.67084750526101,28.410976066597296,13.996420395421435,323.5806451612903,1.8888834268245576,2.3213601901351915,0.5617235605762007,22.54978537542768,20,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Belgium,2006,6,,2006,7.0,,940.0,,,,,348.347357992074,402.651880769961,20.38812666666667,9.38582,249.6,1.891079211024,2.6658532622194646,0.8031152992434979,23.0752801506,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Germany,2006,7,15.0,2006,7.0,23.0,2.0,,,,,236.225197866483,2912.03408995556,29.40470475669765,15.321545653362493,209.91525423728814,1.4099058882029523,2.4242649190309487,0.5999149799122713,24.14840538831274,18,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Spain,2006,7,15.0,2006,8.0,4.0,21.0,,,,,88.9761493446631,1141.3470344828102,31.93398422939068,16.29532759856631,666.0888888888888,0.5606061051922581,2.7845457486113334,0.46949664461378876,26.428375171070964,30,False,False,False,False,False,False,False,False,False,False,False,False,False,True
France,2006,7,15.0,2006,7.0,23.0,1388.0,,,,,116.203903885806,2224.79108760791,30.949025442980464,16.549726942298957,328.2535211267606,1.8300992593101317,2.500393935580663,0.605999595760694,24.64630916964289,26,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Portugal,2005,6,,2005,8.0,,462.0,,,,,114.828140373893,200.349947385126,32.52466666666667,15.756499999999999,100.66666666666667,0.08338929728000001,3.4335598720567617,0.4958387117133113,28.413288461,23,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Romania,2005,7,27.0,2005,8.0,1.0,13.0,500.0,,,500.0,92.7023436820593,128.837415342282,26.92957752341311,14.142969823100938,323.5806451612903,3.7934547027021854,2.2481115244471526,0.6755449395393263,23.329729858869925,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Netherlands,2006,7,15.0,2006,7.0,23.0,1000.0,,,,,484.185456161137,688.727404110835,28.52665806451613,15.181812903225808,-995.8,1.1168677259767743,2.911729060222908,0.6129608362945802,22.619388540019354,17,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Portugal,2006,7,11.0,2006,7.0,17.0,41.0,,,,,115.035399584563,201.916379874368,34.655580645161294,17.500365591397852,100.66666666666667,0.09377701362580645,3.372140156880076,0.4808124714692709,28.01143832729032,30,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Romania,2006,6,29.0,2006,7.0,,26.0,200.0,,,200.0,92.1547960692234,134.851736635346,24.664663440860217,12.1926,323.5806451612903,3.567579430420645,2.2845975356970585,0.7185834610826891,23.89811468969032,11,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bulgaria,2007,6,,2007,7.0,,2.0,50.0,,,50.0,69.4718534204953,42.828181869752704,30.7808115942029,14.913992753623187,287.0,1.0516823173669565,2.6283514897612936,0.4987947137462573,25.495036348434784,22,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Greece,2007,6,,2007,7.0,,16.0,,,,,85.7135221101629,257.537613577613,29.08833333333333,19.589270833333334,364.5,0.75498107997,3.30056209341647,0.556494503610286,28.181998759349998,15,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Hungary,2007,7,,2007,7.0,,500.0,,,,,112.217163263029,118.25749957487899,33.14535023041475,15.256281105990784,116.14285714285714,0.7812728388165899,2.7037163757392877,0.40693521534589616,24.102963537013824,22,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Romania,2007,6,,2007,7.0,,30.0,,,,,90.8390186610988,145.678727802492,29.0622064516129,14.250306451612904,323.5806451612903,1.2562456461367744,2.461379801769651,0.5168422884231885,24.197170817980645,19,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Italy,2007,6,,2007,6.0,,6.0,,,,,197.614991309288,1962.45813712676,25.40667575757576,12.571676767676768,510.27272727272725,4.386346924916364,2.4416042430344422,0.6832910037798804,24.084056228254546,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Slovakia,2007,7,15.0,2007,7.0,22.0,1.0,89.0,,,89.0,111.738503118503,66.6030458389495,24.21805376344086,10.804225806451612,821.1666666666666,1.7829757966451611,3.1230627134849622,0.6189887255049327,22.04642448716129,10,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Italy,2011,8,17.0,2011,8.0,24.0,10.0,,,,,200.797546987333,1900.32574810562,29.776803519061584,13.723106549364614,510.27272727272725,1.4054417879753667,2.0221222252075868,0.6047964492356999,24.305461366241065,24,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Ireland,2013,7,,2013,7.0,,760.0,,,,,67.1188271156917,213.521939076437,19.57195698924731,13.46985752688172,183.08333333333334,3.9801350340774193,3.5292265555159394,0.8520199919774017,21.30616226754586,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False
